wordlist,ipa
hice,'i-se
combinación,kom-bi-na-'si̯on
inicio,i-'ni-si̯o
educación,e-ðu-ka-'si̯on
hasta,'as-ta
ojo,'o-ho
casi,'ka-si
usar,u-'saɾ
funcionar,fun-si̯o-'naɾ
cantar,kan-'taɾ
ayuda,a-'ju-ða
hombre,'om-bɾe
está,es-'ta
sabe,'sa-βe
oportunidad,o-poɾ-tu-ni-'ðað
toque,'to-ke
él,'el
su,'su
hermana,eɾ-'ma-na
esta,'es-ta
taza,'ta-sa
importante,im-poɾ-'tan-te
qué,'ke
el,'el
tanto,'tan-to
son,'son
masa,'ma-sa
diez,'di̯es
eso,'e-so
éxito,'ek-si-to
extra,'eks-tɾa
miedo,'mi̯e-ðo
voy,'βoi̯
leí,le-'i
poema,po-'e-ma
sea,'se-a
aéreo,a-'e-ɾe-o
día,'di-a
leer,le-'eɾ
trae,'tɾa-e
ley,'lei̯
oí,o-'i
hoy,'oi̯
reí,re-'i
rey,'rei̯
diario,'di̯a-ɾi̯o
Saúl,sa-'ul
Paula,'pau̯-la
oído,o-'i-ðo
oigo,'oi̯-ɣo
mi,'mi
tu,'tu
Lola,'lo-la
le,'le
sonríe,son-'ɾi-e
patrón,pa-'tɾon
alto,al-to
yo,'ʝo
huerta,'weɾ-ta
huésped,'wes-peð
cara,'ca-ɾa
cada,'ca-ða
siesta,'si̯es-ta
